J.D.-2400000,rel_flux_T1_n,rel_flux_err_T1_n
59441.4016,1.003096,0.003986
59441.40424,1.009386,0.004039
59441.40688,1.014297,0.004082
59441.40953,1.007754,0.004071
59441.41216,1.004911,0.004021
59441.4148,1.006895,0.004086
59441.41744,1.009808,0.004087
59441.42009,1.011111,0.004117
59441.42273,1.005035,0.004091
59441.42538,1.0107,0.004101
59441.44298,1.011719,0.00418
59441.44561,1.012426,0.004212
59441.44826,1.011301,0.004214
59441.4509,1.005789,0.004191
59441.45355,1.002113,0.004167
59441.4562,0.998485,0.004169
59441.45884,0.998266,0.004189
59441.46149,1.001463,0.004214
59441.46414,1.001894,0.004245
59441.46678,0.994358,0.004223
59441.46943,0.991858,0.004226
59441.47208,0.991762,0.004258
59441.47472,0.980775,0.004238
59441.47737,0.994184,0.004328
59441.48002,0.993146,0.004353
59441.48266,0.986161,0.004332
59441.48531,0.994114,0.004405
59441.48796,0.986619,0.004368
59441.4906,0.991697,0.004396
59441.49325,0.991346,0.004416
59441.49589,0.988811,0.004436
59441.49854,0.990434,0.004482
59441.50119,0.987474,0.004483
59441.50383,0.997977,0.004609
59441.50648,0.986741,0.004559
59441.50912,0.991612,0.004598
59441.51177,0.985803,0.004576
59441.51441,0.993742,0.004632
59441.51705,0.994562,0.004632
59441.5197,0.996972,0.004652
59441.52235,1.001749,0.004655
59441.52499,0.999913,0.00468
59441.52764,1.005076,0.004733
59441.53028,1.004958,0.00474
59441.53293,1.000458,0.00475
59441.53557,1.005562,0.004747
59441.53822,0.998523,0.004795
59441.54086,1.007096,0.004882
59441.54351,1.003178,0.004913
59441.54615,0.997674,0.004917
59441.5488,1.0007,0.005021
59441.55145,1.01068,0.005106
59441.5541,1.000918,0.005113
59441.55674,1.006597,0.00523
59441.55939,1.007066,0.005267
59441.56204,0.99609,0.005182
59441.56468,1.011589,0.005317
